,dataset,n_rows,n_classes,teacher_acc,student_acc,baseline_acc,agreement,teacher_auc,student_auc,baseline_auc,kl
0,tic-tac-toe,958,2,0.5688421052631579,0.5869473684210528,0.5802105263157895,0.8016842105263159,0.5405728577791483,0.5431806724128648,0.546234869731632,0.3255857780575752
1,monks-problems-2,601,2,0.6222596964586846,0.5713322091062395,0.5736930860033727,0.775716694772344,0.4925678918782367,0.4967765567765568,0.5019818112921561,0.26644371151924134
2,sonar,208,2,0.626,0.628,0.616,0.85,0.6823836800321577,0.6781429002110342,0.6933373530298461,1.1965383648872376
3,ionosphere,351,2,0.7142857142857143,0.7306122448979593,0.7276967930029155,0.7947521865889213,0.7913821138211382,0.737989652623799,0.7036326681448632,1.1417257070541382
4,vehicle,846,4,0.4350835322195704,0.44176610978520287,0.4479713603818616,0.6295942720763724,0.7220486529274573,0.6899632659524139,0.688100168138439,1.7601831912994386
5,wdbc,569,2,0.9190730837789662,0.9019607843137255,0.904812834224599,0.9237076648841354,0.9785613310134842,0.9594497607655501,0.9683163875598085,0.46084187030792234
6,diabetes,768,2,0.6665789473684212,0.6434210526315789,0.6663157894736843,0.7499999999999999,0.7148938441013912,0.6791637125976748,0.6853417190775681,1.01834380030632
7,ilpd,583,2,0.7043478260869565,0.6347826086956522,0.6476521739130435,0.7203478260869566,0.6129105691056911,0.6403385070214339,0.6283266814486327,1.839929497241974
8,blood-transfusion,748,2,0.6900000000000001,0.6270270270270271,0.6113513513513513,0.6905405405405405,0.5946637250161186,0.6309215828497743,0.5923768939393941,1.0440085709095002
9,titanic,1309,2,0.6539584934665641,0.6539584934665641,0.645196003074558,0.8484242890084552,0.638358759522308,0.5850433446449843,0.6005956134818863,1.1024384438991546
10,heart-statlog,270,2,0.7114503816793892,0.7244274809160306,0.7244274809160307,0.8465648854961833,0.804900803023146,0.820217288615966,0.8167040623523855,0.6688523828983307
11,wine,178,3,0.8705882352941176,0.8294117647058824,0.8611764705882352,0.8623529411764705,0.9800480979383158,0.9557080957544946,0.9673106778769703,1.010625645518303
12,hepatitis,155,2,0.782312925170068,0.6829931972789115,0.782312925170068,0.7156462585034014,0.700911680911681,0.7534472934472936,0.7501139601139601,0.9707577884197235
13,tae,151,3,0.3888111888111888,0.4405594405594406,0.43916083916083914,0.5636363636363637,0.5716526149466878,0.5873125934771071,0.5775486080957206,2.7522884607315063
14,haberman,306,2,0.7140939597315435,0.67248322147651,0.7000000000000001,0.8671140939597315,0.5428761343274956,0.4437257961967516,0.45012427027339463,0.6407882571220398
15,vote,435,2,0.8932084309133488,0.8646370023419203,0.8688524590163935,0.9021077283372365,0.9623710386305806,0.9516701364792969,0.9573143650242887,0.23375457525253296
16,monks-problems-1,556,2,0.6062043795620438,0.563138686131387,0.5737226277372263,0.7824817518248175,0.6342666098353668,0.6051281368213544,0.604964302839789,0.25505460649728773
17,monks-problems-3,554,2,0.6296703296703295,0.6311355311355311,0.6567765567765568,0.8124542124542125,0.7326335877862595,0.7072707235781099,0.7312009461348242,0.2141820266842842
18,planning-relax,182,2,0.6977011494252873,0.6103448275862069,0.628735632183908,0.7425287356321839,0.48900000000000005,0.5091935483870967,0.5068870967741935,1.6167732715606689
19,credit-approval,690,2,0.7659824046920821,0.7017595307917889,0.7073313782991203,0.8272727272727272,0.826320785112812,0.7751334500204639,0.8029084702665518,0.28649150133132933
20,breast-w,699,2,0.9432706222865412,0.9383502170767004,0.948480463096961,0.9667149059334299,0.9894596249095665,0.9862689446639582,0.9909074888233439,0.1838162809610367
21,breast-cancer,286,2,0.6597122302158274,0.6640287769784172,0.6625899280575539,0.8359712230215827,0.5921223354958295,0.5853259190608588,0.5789372876119864,0.37771032452583314
22,credit-g,1000,2,0.6375,0.6225806451612904,0.6475806451612904,0.8177419354838709,0.5705665048449801,0.5503142951086011,0.5625282865597742,0.4259259909391403
23,cleveland,303,2,0.6494915254237288,0.7437288135593221,0.7410169491525422,0.7810169491525423,0.7501203703703704,0.8232777777777779,0.8300555555555554,0.2997244358062744
