,dataset,n_rows,n_classes,tabpfn_acc,tabpfn_auc,rf_base_acc,rf_base_auc,rf_aug_acc,rf_aug_auc,rf_aug_conf_acc,rf_aug_conf_auc,mlp_base_acc,mlp_base_auc,mlp_aug_acc,mlp_aug_auc,mlp_aug_conf_acc,mlp_aug_conf_auc,mlp_soft_acc,mlp_soft_auc
0,tic-tac-toe,958,2,0.5690526315789474,0.5355794409448433,0.5692631578947369,0.5532042151838636,0.5663157894736842,0.5268681262205777,0.5616842105263158,0.5520823850148548,0.5825263157894736,0.5731817981586714,0.5656842105263158,0.5364942317763779,0.5877894736842105,0.5666642193931739,0.5307368421052632,0.4997117111825714
1,monks-problems-2,601,2,0.6256323777403037,0.49551345206517616,0.5905564924114671,0.5084779588227863,0.6279932546374367,0.5053694581280789,0.642495784148398,0.5288366805608185,0.5824620573355818,0.508821523304282,0.6249578414839798,0.500740179360869,0.642495784148398,0.5148035872173803,0.5477234401349073,0.5151420992800304
2,sonar,208,2,0.627,0.6920711486282786,0.6050000000000001,0.6768565973269018,0.615,0.6861621947542961,0.605,0.6820319565872777,0.607,0.6365591397849463,0.583,0.6079790975781328,0.585,0.6216661642046025,0.583,0.5725856697819314
3,ionosphere,351,2,0.7341107871720116,0.8091574279379158,0.6635568513119534,0.735439763488544,0.6845481049562683,0.7713562453806355,0.6827988338192419,0.7733444198078344,0.7393586005830904,0.7086696230598669,0.740524781341108,0.7212638580931264,0.7271137026239066,0.6915299334811529,0.7212827988338193,0.7377679231337768
4,vehicle,846,4,0.4465393794749404,0.7284073586518978,0.43341288782816234,0.6994355102616715,0.44463007159904533,0.6933544754204373,0.4226730310262529,0.6826478377707444,0.28377088305489256,0.5375007732831132,0.2305489260143198,0.49975363284271906,0.2016706443914081,0.4756495923173311,0.239618138424821,
5,wdbc,569,2,0.9201426024955438,0.9789881470204437,0.9162210338680927,0.9759338299260548,0.9137254901960784,0.9741259786863854,0.9162210338680927,0.9768744562853413,0.5262032085561497,0.37682688125271857,0.47950089126559714,0.3493149195302305,0.5529411764705882,0.5159281209221401,0.7140819964349376,0.6058095911265767
6,diabetes,768,2,0.6642105263157895,0.7367440442157424,0.6865789473684211,0.739409186201639,0.6731578947368421,0.6828869830379265,0.6797368421052632,0.7073596340766153,0.47289473684210526,0.4687608157042119,0.5610526315789472,0.5445107680579377,0.5936842105263158,0.42117476653325714,0.45815789473684215,0.5170832856870593
7,ilpd,583,2,0.7085217391304347,0.5843547671840355,0.6862608695652174,0.6333141167775315,0.7081739130434782,0.5958935698447894,0.6695652173913043,0.6052638580931264,0.632,0.581960088691796,0.5439999999999999,0.5557043606799704,0.5311304347826087,0.5667834441980784,0.5095652173913043,0.5172091648189209
8,balance-scale,625,3,0.7098865478119937,0.7382121558177897,0.7024311183144246,0.7446104555259485,0.6836304700162075,0.7300413089145483,0.6223662884927066,0.7117592945057734,0.8012965964343598,0.7863828617349744,0.7358184764991895,0.754799870292828,0.7414910858995138,0.7407583639978006,0.6878444084278769,
9,blood-transfusion,748,2,0.7448648648648648,0.5972447211476467,0.6586486486486487,0.5808903529980658,0.7321621621621621,0.5844445116054159,,,0.447027027027027,0.48793520309477756,0.6448648648648648,0.46588592037395227,,,0.5013513513513513,0.6789802949709862
10,titanic,1309,2,0.6641045349730976,0.6582627606434628,0.6777863182167565,0.6909819614202629,0.6581091468101461,0.6694840685906485,0.6986933128362798,0.7430628547403826,0.5944657955418908,0.5883505010160466,0.6562644119907763,0.6195588956625324,0.5080707148347425,0.3982314283712224,0.6144504227517295,0.5689342522798482
11,heart-statlog,270,2,0.7,0.7989607935758147,0.7366412213740456,0.8251121870571565,0.6954198473282442,0.7767890883325461,0.7251908396946565,0.8019130845536138,0.5488549618320611,0.5800779404818139,0.5320610687022901,0.5444733112895607,0.5534351145038168,0.566580066131318,0.5099236641221373,0.5076641473783656
12,glass,214,6,0.4757281553398059,0.656463410179333,0.46019417475728164,0.6346196208566657,0.4592233009708738,0.63269650256692,0.4407766990291263,0.6259649910286734,0.30097087378640774,0.5684843170678822,0.34563106796116505,0.545927375457486,0.2679611650485437,0.5222366010806339,0.2815533980582524,
13,wine,178,3,0.8752941176470588,0.9810229992731934,0.86,0.9770029778940525,0.8611764705882352,0.9734117700991473,0.8541176470588235,0.9712254763911045,0.2611764705882353,0.3932133362472978,0.30588235294117644,0.5810382209294442,0.3729411764705882,0.5558108029366557,0.31882352941176473,
14,zoo,101,7,0.864516129032258,0.8543891594335534,0.8623655913978494,0.8511311501344725,0.864516129032258,0.8522321323964969,0.832258064516129,0.825215475515528,0.8516129032258064,0.8484135539545381,0.8580645161290322,0.8499378282838095,0.8258064516129032,0.8210207561552589,0.6408602150537634,
15,hepatitis,155,2,0.7850340136054422,0.7080911680911681,0.7700680272108843,0.7217663817663817,0.7972789115646257,0.7145868945868946,0.763265306122449,0.7492877492877492,0.49251700680272104,0.6102279202279203,0.7469387755102042,0.58002849002849,0.6802721088435374,0.5838176638176638,0.597278911564626,0.4133333333333333
16,lymph,148,4,0.6257142857142857,0.608380861017662,0.6385714285714286,0.6154087522063543,0.6642857142857143,0.615968178007835,0.5914285714285714,0.6049694585924705,0.6528571428571429,0.6212213761840999,0.6171428571428572,0.5924426659123103,0.6128571428571428,0.6019960849314993,0.6114285714285714,
17,tae,151,3,0.39580419580419585,0.5898803493028417,0.43076923076923074,0.6017195264630676,0.3986013986013986,0.6023301430501279,0.41818181818181815,0.5834369119988422,0.4125874125874126,0.576614440102282,0.4293706293706294,0.5899506079027356,0.379020979020979,0.5422169754426593,0.3538461538461538,
18,haberman,306,2,0.7154362416107383,0.5530027166059766,0.7154362416107383,0.4939136466100226,0.7093959731543624,0.5162765158083348,0.6963087248322148,0.5313421189526617,0.6241610738255033,0.5295936651060632,0.7248322147651007,0.43305011271024796,0.7197986577181208,0.47488584474885853,0.612751677852349,0.4197907635396798
19,vote,435,2,0.8894613583138173,0.9631066389081656,0.8768149882903981,0.9596715244043489,0.88384074941452,0.9620402498265094,0.9035128805620609,0.963795975017349,0.868384074941452,0.9562086513994912,0.862295081967213,0.9519523479065463,0.8613583138173302,0.9462526023594726,0.8529274004683842,0.8957922738838769
20,monks-problems-1,556,2,0.6091240875912409,0.6370025041291492,0.6043795620437955,0.6353441845596463,0.6113138686131387,0.6500626032287282,0.6263686131386861,0.6546050002663968,0.5565693430656935,0.5766290159305237,0.5507299270072993,0.5775054611327188,0.5688868613138687,0.5942744685385476,0.5824817518248175,0.5832143427992967
21,monks-problems-3,554,2,0.6197802197802197,0.7289350607461562,0.6326007326007325,0.7228483496398237,0.6065934065934065,0.6746357918503386,0.6076007326007327,0.7232942022363187,0.6014652014652015,0.6468524889796796,0.6271062271062271,0.6867971185893988,0.6135531135531136,0.6608781985807978,0.550915750915751,0.5912294376948715
22,planning-relax,182,2,0.7022988505747125,0.48987096774193545,0.6781609195402298,0.4625322580645161,0.6954022988505747,0.4720000000000001,0.664367816091954,0.4599354838709678,0.6000000000000001,0.5183870967741936,0.6689655172413793,0.49622580645161285,0.5919540229885057,0.5115161290322581,0.6586206896551724,0.4943225806451612
23,credit-approval,690,2,0.7671554252199414,0.8263434258993183,0.7739002932551321,0.8576390884471031,0.749266862170088,0.8052413420761602,0.680058651026393,0.7831866036207844,0.5967741935483871,0.6390483903271594,0.6307917888563049,0.6626383482675443,0.5706744868035191,0.6273927392739274,0.5263929618768329,0.5359439901773818
24,breast-w,699,2,0.9444283646888568,0.9903741629101972,0.9183791606367583,0.9888261264770808,0.9244573082489145,0.9859368913128165,0.9253256150506513,0.984978759715807,0.777424023154848,0.663136512883299,0.8193921852387845,0.7604077392546422,0.7988422575976846,0.7083217392917431,0.7331403762662807,0.705218246238893
25,breast-cancer,286,2,0.6611510791366906,0.5930367624343528,0.6942446043165468,0.6013963546493668,0.6654676258992807,0.5797466790237874,0.6697841726618705,0.6202409638554217,0.6726618705035972,0.602539388322521,0.6935251798561151,0.5942601173926475,0.6920863309352517,0.6155576150756874,0.6028776978417266,0.510614766759345
26,credit-g,1000,2,0.6401209677419355,0.5714547511749801,0.6838709677419355,0.5730054348877242,0.6741935483870968,0.5461109606792643,0.6728830645161291,0.5745411291414425,0.5399193548387097,0.47414269964992367,0.5399193548387097,0.5158636829584358,0.49974798387096775,0.5576362831943988,0.584274193548387,0.5257721989052859
27,ecoli,336,8,0.6317073170731707,0.7512054068049123,0.6780487804878048,0.7579522288568282,0.646341463414634,0.7488485597793889,0.6695121951219513,0.7473037443401467,0.7201219512195123,0.7645205211760315,0.5597560975609757,0.747960800409717,0.7335365853658538,0.7712108786690608,0.4286585365853659,
28,flags,194,8,0.410752688172043,0.6236622504072895,0.4150537634408602,0.6284112482993831,0.4118279569892473,0.6187769159403125,0.4,0.6222273583329336,0.31290322580645163,0.5411166396893435,0.2978494623655914,0.5379653489714235,0.24838709677419354,0.5163625117206554,0.1989247311827957,
29,cleveland,303,2,0.6583050847457628,0.7638611111111111,0.72,0.7997685185185185,0.7016949152542373,0.786699074074074,0.6915254237288135,0.7991261574074076,0.5010169491525425,0.43843055555555555,0.511864406779661,0.5708518518518518,0.5067796610169492,0.5728009259259259,0.5857627118644068,0.5852407407407407
30,colic,368,2,0.7433333333333332,0.7818853300652512,0.7444444444444445,0.7918551886323739,0.7216666666666667,0.7677089198767846,0.7449999999999999,0.7948229604849127,0.6427777777777777,0.6512073134377795,0.6533333333333333,0.6514126726507901,0.638888888888889,0.6596071676989832,0.5683333333333334,0.5587757941108278
31,biomed,209,2,0.8208955223880597,0.8952196382428941,0.8228855721393036,0.9085486649440139,0.835820895522388,0.9008290267011198,0.8507462686567164,0.9014857881136951,0.47164179104477605,0.5,0.3552238805970149,0.4866386735572782,0.5283582089552239,0.4945198105081826,0.47960199004975124,0.4527993109388458
32,analcatdata_authorship,841,4,0.8153661464585834,0.8499849049958952,0.7805522208883553,0.8493533796751989,0.8324129651860744,0.858314480669158,0.8316926770708284,0.8545363395397405,0.4871548619447779,0.6096448165613013,0.5361344537815127,0.6754973009710469,0.5918367346938775,0.7082196519872218,0.40600240096038415,
